1596889223.078663348 [7.814424,77.901794,1.743676,16.513420]	 [8.204700,83.419838,1.000000,12.591139]	 [30.169807,69.719467,1.000000,7.037169]	 [10.854264,85.798126,1.000000,8.654451]	
1596889224.103135220 [18.326340,85.124962,1.000000,8.461032]	 [10.956850,83.917274,1.000000,12.214204]	 [10.953089,86.358559,1.000000,9.634977]	 [12.402092,86.197281,1.000000,8.814092]	
1596889225.148253968 [7.554647,89.358719,1.000000,7.158198]	 [7.353535,87.766060,1.000000,9.123897]	 [9.207036,90.217384,1.000000,6.129393]	 [12.074709,92.017212,1.000000,3.635606]	
1596889226.171984081 [6.486767,86.817001,1.000000,8.901196]	 [5.299578,87.265106,1.000000,9.485757]	 [8.577813,87.719337,1.000000,7.678038]	 [24.693987,76.412140,1.000000,5.188587]	
1596889227.196248405 [17.960028,84.253143,1.000000,5.919971]	 [7.178349,83.933617,1.000000,12.396960]	 [7.179451,85.762177,1.000000,10.033121]	 [4.968427,90.530052,1.000000,6.754327]	
1596889228.220016458 [7.763815,86.490311,1.000000,10.528842]	 [6.541744,87.370346,1.000000,9.880100]	 [11.303030,87.275856,1.000000,8.772446]	 [5.701552,91.367729,1.000000,6.177063]	
1596889229.243405066 [7.114231,90.435654,1.000000,6.570600]	 [6.551393,86.932442,1.000000,10.330245]	 [8.018652,89.437775,1.000000,7.556449]	 [10.840772,93.346840,1.000000,2.680280]	
1596889230.267342745 [6.794103,91.408539,1.000000,5.726371]	 [6.465688,91.462158,1.000000,5.443855]	 [8.297855,86.367188,1.000000,9.084181]	 [10.548965,84.818550,1.000000,7.055926]	
1596889231.290881134 [6.730386,86.411880,1.000000,10.701336]	 [9.111709,89.708115,1.000000,6.745563]	 [12.015864,87.853958,1.000000,7.621847]	 [17.009699,86.515831,1.000000,7.081426]	
1596889232.315602947 [8.806804,88.095566,1.000000,8.666458]	 [7.866963,89.768372,1.000000,7.157136]	 [10.927423,87.841507,1.000000,8.250875]	 [15.174150,89.898750,1.000000,5.162217]	
1596889233.339368307 [9.406201,82.400803,1.000000,13.487997]	 [12.203752,86.595634,1.000000,8.673346]	 [23.909788,76.853897,1.000000,10.215009]	 [10.347790,86.437576,1.000000,8.876072]	
1596889234.363657089 [5.213776,90.791489,1.000000,6.762563]	 [6.951607,87.586990,1.000000,9.409910]	 [9.586615,88.363640,1.000000,7.904020]	 [7.931015,89.992523,1.000000,6.831986]	
1596889235.388204840 [9.787786,89.925400,1.000000,5.106269]	 [8.442030,92.436005,1.000000,4.075189]	 [9.142036,81.363907,1.000000,14.597598]	 [8.520783,86.707344,1.000000,9.526448]	
